value,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_max_leaves,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample
0.8730669744288656,0.3513396446547424,0.4324226252718595,0.015275893503724443,86,24,3.767973134408794,590,0.06766629266737799,0.5651886693505864,0.6222977065399122
0.8730626513992888,0.3826724597074398,0.3902135738727025,0.015212060726085129,7,19,3.831374964363964,604,0.08645829057497095,0.5310647471719299,0.6226786258086727
0.8730614775874826,0.3483596313825026,0.33409729143609807,0.015500550379631819,14,19,3.2118628699878666,596,0.06238724644966295,0.5269134258090904,0.62119224114167
0.8730594416157459,0.3386903966726354,0.5044268023335436,0.014745048968490344,78,23,3.6913045260072037,521,0.0762876524723004,0.39987944795472713,0.6207854361894518
0.8730565074499804,0.35070398770939165,0.32945278114810644,0.015185256022777887,84,21,3.8336711299376787,565,0.034286886856494954,0.6318273350524742,0.6238211334296576
0.8730538102360018,0.34850525262245646,0.3244688023599826,0.015221033638232228,31,20,3.704031242384919,556,0.06498198273145372,0.7215476170716723,0.6215839417095483
0.8730501249691963,0.3510671210227415,1.29608540025059,0.015071454477795218,17,18,3.3530103866592165,597,0.17094657142330763,0.5669333895275208,0.6206117721846303
0.8730485772617029,0.344088092646371,0.5543562155778087,0.01517074395660495,83,20,3.6846792823871497,578,0.029249840676354222,0.4653545932518812,0.6240514388398906
0.8730446679147074,0.3414181682613479,0.47620941764302777,0.015397830938825244,19,24,3.1677526301722203,541,0.0818224546178169,0.622258912032418,0.6222760701689013
0.8730433398238683,0.35193357402480807,0.4491590828549067,0.014977775751064541,25,22,3.266178042187014,589,0.13732708493724363,0.4982425857303287,0.6227664195417809
0.873041667927855,0.346829239278705,0.26201064600321605,0.01470248374799356,83,19,3.672383660708561,578,0.3823329875988897,0.5542584542401877,0.6203787725995386
0.8730403599841671,0.3509473575481263,0.3985986477108303,0.01557323518914775,81,21,3.6733272211101267,561,0.11396077937274493,0.39838616176742425,0.6220117968351908
0.873038865846657,0.3483505871823335,0.43944716970317316,0.015284675978330834,21,20,3.6751897518060184,598,0.09643909985665937,0.47900338584563057,0.6223453568535439
0.8730344196997356,0.34881847725828935,0.4091950861847238,0.014938579445941111,79,20,3.5132891203788916,574,0.07402095723231306,0.4596225843543223,0.6213387180222061
0.8730343101562553,0.3502390763156304,0.37208412648911515,0.014380256673564861,11,21,3.760708279946274,559,0.09304082262512378,0.7418050707332565,0.620958566792293
0.8730302019062854,0.34566767277847504,0.6080655093808488,0.014944170374120753,66,19,3.8278745683824753,604,0.0614840203820848,0.7257842422855733,0.625184844897033
0.8730291854743207,0.3528070725962961,0.6734303434025697,0.015409437595318478,10,19,3.647117944934225,580,0.06942788065312908,0.7405626270223955,0.62118281498619
0.8730280418633498,0.35377265479663883,0.5073355710076255,0.0152627880009125,81,19,3.639266877090127,563,0.06288098478675264,0.454152915356813,0.621947615973437
0.8730276224931908,0.3513706806263318,0.6003984701526388,0.015218043652989309,77,19,4.089181884871101,577,0.06515636232226933,0.5156524160302298,0.6229429974014213
0.8730274962571724,0.34078061816468563,0.44326391056142944,0.015035834560086364,90,20,3.7982480242646353,536,0.017605975502061295,0.5741159450415091,0.6273377924290626
0.8730274878682664,0.34153888670322946,0.4317784748161078,0.01499722819901143,91,20,3.8239124705387515,547,0.016332352991317682,0.6296004609590617,0.6202080734482216
0.8730252985361726,0.34844330781090577,0.40104864880727353,0.015349596020062794,84,20,3.891990192847964,558,0.034388431126364,0.6106571280220251,0.6248537633942571
0.8730241977204469,0.3499272141090607,0.4122558472523696,0.015349812689415404,88,20,3.9437160357183063,527,0.0349257842771383,0.6414320563162764,0.6230043462907433
0.8730219026923361,0.3547291799849683,0.4702970288220119,0.014743488438064186,81,23,3.5333866092458135,573,0.053934544755232884,0.46999504826658417,0.6222034753092933
0.873017878014642,0.35601207848643407,0.33749484832693294,0.015475702149761818,73,19,3.36665817726989,593,0.05551928420140764,0.431016462505232,0.6398557851743519
0.8730175769282796,0.3525313832481261,0.4778321055906871,0.014754087042108335,88,20,3.2710868330507967,599,0.12053541203192651,0.4530123301650808,0.6249196017909069
0.8730168393749509,0.3500646703375235,0.35950801500851404,0.015328828507700962,47,25,3.1709120685347068,599,0.15467788994436815,0.4862722026023821,0.6228314723603027
0.8730135343951524,0.3508636645459041,0.3545102289434332,0.014821053029074481,72,20,3.3359269808705343,619,0.0837537601023188,0.6864118426234459,0.6209205648256851
0.8730119773482137,0.3487002235510001,0.4504706170936442,0.01488514625955945,20,20,3.458339505989278,602,0.1665614709940352,0.48742126150473136,0.6217782139405608
0.8730119045418361,0.35077792671414865,0.5192108103743437,0.015092765438530288,58,19,3.7172270743568743,604,0.14191255634231073,0.496290945484222,0.6249072048502485
0.8730102011876092,0.35612120214549925,0.35049741486501673,0.01531178900879861,37,16,3.201639481358621,588,0.09229337417949811,0.5188822271562491,0.6223750007306942
0.8730101624061393,0.353058219826033,0.41070017361402555,0.015045384572581045,81,25,3.208387669177799,604,0.11995853176275277,0.5382015019686169,0.6211163453902406
0.8730084986176093,0.34750838363312836,0.2425755555724485,0.01511845704474774,18,24,3.368301401670038,596,0.17519344014347224,0.5329806521165017,0.6232187160199354
0.8730079076780399,0.3490728603357759,0.3000347491512936,0.015415055893863232,15,23,3.355116445908485,587,0.19707868976614668,0.48278275353895517,0.6225270284784885
0.8730076588409258,0.34967860338537393,0.5566269270252319,0.014786166073246816,11,18,3.3208621080127885,590,0.11244261300261157,0.5186652298071849,0.6264951830198688
0.8730067775866013,0.3449285970448621,0.49775125151273686,0.015069936912317923,81,21,3.4313110356295957,612,0.07864027529490372,0.4443512126081756,0.6216620132140945
0.8730065539278085,0.3519903132968289,0.4557170673056789,0.014759121784362655,90,20,3.3718628183787476,599,0.13984043280152333,0.4351756559296084,0.6252060130310657
0.8730064564613841,0.35747183336395644,0.24439601995683502,0.015945065110360764,74,16,3.4263143395762485,586,0.12317767811135791,0.38412327745604974,0.613045432533961
0.8730047376438183,0.3544932720715732,0.2184912876653899,0.014762765937583504,44,21,3.84720967906172,591,0.16783527742919002,0.5053168138524146,0.6234213617863485
0.8730036624047892,0.35426173088023044,0.2272176137140171,0.014710760060251668,21,21,3.866800524036762,593,0.16798468496136365,0.5093438352644284,0.623412172412615
0.8730031853624667,0.3472649998303647,0.21679361830118804,0.01478236639811909,79,20,3.419225597629401,600,0.09516706245868792,0.44474211172946615,0.6226189638928131
0.8730031706303114,0.35113752843657214,0.513990036263737,0.01479809583199844,16,21,3.400412953486523,621,0.08338862935153361,0.6844912104333227,0.6242136327863858
0.8730025397850542,0.35111785603664547,0.1774174346297731,0.015476344185319034,31,22,3.5099362325603454,577,0.14671339798441926,0.7544227358728138,0.6238717640328016
0.8730022794352031,0.3522555473027269,0.2555112859530204,0.015807505941343926,88,19,3.8349473451805975,555,0.08763829760226942,0.5787662370434978,0.6167857290469881
0.8730010269984907,0.34896471993402206,0.33208033981258483,0.015098602157206271,31,20,3.640062603866126,564,0.07017044569093375,0.5527910753797204,0.6213598371193726
0.8730002130548788,0.34916691904831254,0.39982328262708666,0.015831316645508575,91,19,3.5558258008911503,559,0.05708852224511321,0.6669329628771639,0.620511271867512
0.8729975155887617,0.35112812271646965,0.5815679745363456,0.015562478308788211,81,23,3.656663716490188,561,0.1287859496117261,0.3988699885510918,0.6223016572672083
0.8729969300189724,0.3549233155566334,0.400976880153516,0.015321885345191596,73,18,3.774950328164724,602,0.05470112843120343,0.70343243269713,0.6250803339891119
0.8729934348005429,0.350589059881625,0.3874136842502815,0.015078924794951242,76,23,3.7174955119522255,589,0.08635735219333968,0.6743915754573575,0.6241366653794912
0.8729931009681995,0.35059424897670566,0.3354304715584186,0.014717707540924852,71,21,3.343272781320916,542,0.05792092044609186,0.42481127659930196,0.6205097773315379
0.8729927852647925,0.35148453752315784,0.2410757674748142,0.0143922263968974,68,23,3.325692611229052,555,0.1317308976815188,0.4086575305670337,0.6301165711219112
0.8729924290490176,0.3490646344814172,0.3087962697772719,0.01537257210283859,15,23,3.5649634283801364,588,0.1957308713387856,0.4784100357992561,0.6226834911907637
0.8729916501648372,0.3474763137901086,0.45476803204341376,0.014919984226081285,20,20,3.615543659319485,592,0.16690775932264873,0.5160317085065389,0.6252788571454853
0.8729906076719735,0.3510719062351045,0.4360861011333536,0.014767934742201174,15,19,3.342670533677059,595,0.15521034108937026,0.5027422853210033,0.6201953429915416
0.8729893169311786,0.3512506011135058,0.5556647604411689,0.014932371053024066,71,20,3.7062119961670286,562,0.2839110200344547,0.26750411379602484,0.6229652473391373
0.872988525243179,0.3552098043096039,0.4257411321415519,0.015496446276527803,61,20,3.6945723345159296,578,0.05209130184549058,0.5731882388751482,0.6203448756370562
0.8729873640942964,0.35030097603673405,0.5691156601152473,0.01465949320025191,18,21,3.6507206437280946,637,0.12353103837393659,0.3819369946963007,0.6223210204617494
0.8729871808846988,0.3551588530697145,0.48421143588073673,0.014812875320504265,82,23,3.5610307701402415,605,0.05127257747320001,0.4477998412840086,0.6223146861492732
0.8729855306398283,0.354764110186427,0.2669481976536501,0.015634773701845815,78,19,3.4942660705734134,577,0.017036901921809885,0.4245974332325664,0.6205934248782132
0.8729847929767299,0.34867416475240903,0.32436807598460177,0.015190757065916492,77,21,3.7937006236636517,578,0.06189287610220059,0.5417853080790551,0.6218899467543147
0.8729841132051505,0.34364077741700205,0.40223787362252605,0.015099306391818671,9,22,3.7215253408068945,599,0.09701954782782381,0.4364513941229736,0.6243233673031691
