iter	Passed	Remaining
745	9303	3167
746	9316	3155
747	9327	3142
748	9339	3129
749	9351	3117
750	9363	3104
751	9375	3091
752	9388	3079
753	9400	3066
754	9412	3054
755	9423	3041
756	9435	3028
757	9448	3016
758	9460	3003
759	9472	2991
760	9486	2979
761	9499	2967
762	9513	2955
763	9525	2942
764	9537	2929
765	9548	2917
766	9560	2904
767	9572	2891
768	9583	2878
769	9596	2866
770	9607	2853
771	9619	2840
772	9630	2828
773	9642	2815
774	9655	2803
775	9668	2790
776	9681	2778
777	9694	2766
778	9707	2754
779	9721	2741
780	9733	2729
781	9745	2716
782	9756	2704
783	9768	2691
784	9779	2678
785	9791	2665
786	9804	2653
787	9816	2640
788	9829	2628
789	9840	2615
790	9854	2603
791	9866	2591
792	9877	2578
793	9889	2565
794	9900	2553
795	9913	2540
796	9925	2528
797	9939	2516
798	9951	2503
799	9962	2490
800	9974	2478
801	9986	2465
802	9998	2452
803	10009	2440
804	10021	2427
805	10032	2414
806	10044	2402
807	10056	2389
808	10068	2377
809	10080	2364
810	10091	2351
811	10103	2339
812	10115	2326
813	10129	2314
814	10141	2301
815	10154	2289
816	10166	2277
817	10178	2264
818	10189	2251
819	10201	2239
820	10213	2226
821	10226	2214
822	10239	2202
823	10251	2189
824	10263	2177
825	10275	2164
826	10287	2151
827	10299	2139
828	10310	2126
829	10322	2114
830	10335	2101
831	10347	2089
832	10361	2077
833	10373	2064
834	10385	2052
835	10396	2039
836	10408	2027
837	10419	2014
838	10431	2001
839	10443	1989
840	10455	1976
841	10466	1964
842	10477	1951
843	10489	1938
844	10500	1926
845	10512	1913
846	10523	1900
847	10535	1888
848	10547	1875
849	10560	1863
850	10573	1851
851	10585	1838
852	10597	1826
853	10610	1813
854	10622	1801
855	10634	1788
856	10648	1776
857	10660	1764
858	10672	1751
859	10684	1739
860	10695	1726
861	10706	1714
862	10719	1701
863	10731	1689
864	10743	1676
865	10756	1664
866	10769	1652
867	10783	1639
868	10796	1627
869	10808	1615
870	10820	1602
871	10833	1590
872	10845	1577
873	10857	1565
874	10869	1552
875	10881	1540
876	10893	1527
877	10904	1515
878	10916	1502
879	10928	1490
880	10939	1477
881	10952	1465
